,5
0,"@stellargirl I loooooooovvvvvveee my Kindle2. Not that the DX is cool, but the 2 is fantastic in its own right."
1,Reading my kindle2...  Love it... Lee childs is good read.
2,"Ok, first assesment of the #kindle2 ...it fucking rocks!!!"
3,@kenburbary You'll love your Kindle2. I've had mine for a few months and never looked back. The new big one is huge! No need for remorse! :)
4,@mikefish  Fair enough. But i have the Kindle2 and I think it's perfect  :)
5,@richardebaker no. it is too big. I'm quite happy with the Kindle2.
7,Jquery is my new best friend.
8,Loves twitter
9,how can you not love Obama? he makes jokes about himself.
12,"House Correspondents dinner was last night whoopi, barbara &amp; sherri went, Obama got a standing ovation"
13,Watchin Espn..Jus seen this new Nike Commerical with a Puppet Lebron..sh*t was hilarious...LMAO!!!
15,"#lebron best athlete of our generation, if not all time (basketball related) I don't want to get into inter-sport debates about   __1/2"
17,i love lebron. http://bit.ly/PdHur
19,@Pmillzz lebron IS THE BOSS
20,"@sketchbug Lebron is a hometown hero to me, lol I love the Lakers but let's go Cavs, lol"
21,lebron and zydrunas are such an awesome duo
22,@wordwhizkid Lebron is a beast... nobody in the NBA comes even close.
23,downloading apps for my iphone! So much fun :-) There literally is an app for just about anything.
24,"good news, just had a call from the Visa office, saying everything is fine.....what a relief! I am sick of scams out there! Stealing!"
25,http://twurl.nl/epkr4b - awesome come back from @biz (via @fredwilson)
26,In montreal for a long weekend of R&amp;R. Much needed.
27,Booz Allen Hamilton has a bad ass homegrown social collaboration platform. Way cool!  #ttiv
28,[#MLUC09] Customer Innovation Award Winner: Booz Allen Hamilton -- http://ping.fm/c2hPP
29,"@SoChi2 I current use the Nikon D90 and love it, but not as much as the Canon 40D/50D. I chose the D90 for the  video feature. My mistake."
32,"@phyreman9 Google is always a good place to look. Should've mentioned I worked on the Mustang w/ my Dad, @KimbleT."
38,RT @jessverr I love the nerdy Stanford human biology videos - makes me miss school. http://bit.ly/13t7NR
39,"@spinuzzi: Has been a bit crazy, with steep learning curve, but LyX is really good for long docs. For anything shorter, it would be insane."
40,"I'm listening to ""P.Y.T"" by Danny Gokey &lt;3 &lt;3 &lt;3 Aww, he's so amazing. I &lt;3 him so much :)"
41,is going to sleep then on a bike ride:]
51,@YarnThing you will not regret going to see Star Trek. It was AWESOME!
56,Highly recommend: http://tinyurl.com/HowDavidBeatsGoliath by Malcolm Gladwell
57,Blink by malcolm gladwell amazing book and The tipping point!
58,Malcolm Gladwell might be my new man crush
60,@robmalon Playing with Twitter API sounds fun.  May need to take a class or find a new friend who like to generate results with API code.
62,Hello Twitter API ;)
66,is scrapbooking with Nic =D
67,RT @mashable: Five Things Wolfram Alpha Does Better (And Vastly Different) Than Google - http://bit.ly/6nSnR
68,just changed my default pic to a Nike basketball cause bball is awesome!!!!!
73,Back when I worked for Nike we had one fav word : JUST DO IT! :)
74,"By the way, I'm totally inspired by this freaky Nike commercial: http://snurl.com/icgj9"
77,Class... The 50d is supposed to come today :)
80,SHOUT OUTS TO ALL EAST PALO ALTO FOR BEING IN THE BUILDIN KARIZMAKAZE 50CAL GTA! ALSO THANKS TO PROFITS OF DOOM UNIVERSAL HEMPZ CRACKA......
82,@accannis @edog1203 Great Stanford course. Thanks for making it available to the public! Really helpful and informative for starting off!
85,@ work til 6pm... lets go lakers!!!
95,omgg i ohhdee want mcdonalds damn i wonder if its open lol =]
106,"@psychemedia I really liked @kswedberg's ""Learning jQuery"" book. http://bit.ly/pg0lT is worth a look too"
108,"Very Interesting Ad from Adobe by Goodby, Silverstein &amp; Partners - YouTube - Adobe CS4: Le Sens Propre http://bit.ly/VprpT"
109,Goodby Silverstein agency new site! http://www.goodbysilverstein.com/ Great!
110,"RT @designplay Goodby, Silverstein's new site: http://www.goodbysilverstein.com/ I enjoy it. *nice find!*"
111,The ever amazing Psyop and Goodby Silverstein &amp; Partners for HP! http://bit.ly/g2rU8 Have to go play with After Effects now!
112,top ten most watched on Viral-Video Chart.  Love the nike #mostvaluablepuppets campaign from Wieden &amp; Kennedy http://bit.ly/nR1n9
113,zomg!!! I have a G2!!!!!!!
114,Ok so lots of buzz from IO2009 but how lucky are they - a Free G2!! http://is.gd/Hyzl
115,just got a free G2 android at google i/o!!!
116,Guess I'll be retiring my G1 and start using my developer G2 woot #googleio
118,I am happy for Philip being at GoogleIO today
119,Lakers played great!  Cannot wait for Thursday night Lakers vs. ???
121,Judd Apatow creates fake sitcom on NBC.com to market his new movie... viral marketing at its best. http://is.gd/K0yK
124,watching Night at The Museum . Lmao
125,i loved night at the museum!!!
127,just got back from the movies.  went to see the new night at the museum with rachel.  it was good
130,@shannyoday I will take you on a date to see night at the museum 2 whenever you want...it looks soooooo good
131,no watching The Night At The Museum. Getting Really Good
132,"Night at the Museum, Wolverine and junk food - perfect monday!"
133,saw night at the museum 2 last night.. pretty crazy movie.. but the cast was awesome so it was well worth it. Robin Williams forever!
162,"My wrist still hurts. I have to get it looked at. I HATE the dr/dentist/scary places. :( Time to watch Eagle eye. If you want to join, txt!"
167,is studing math ;) tomorrow exam and dentist :)
179,Safeway is very rock n roll tonight
191,i love Dwight Howard's vitamin water commercial... now i wish he was with NIKE and not adidas. lol.
194,is lovin his Nike  already and that's only from running on the spot in his bedroom
196,@matthewcyan I finally got around to using jquery to make my bio collapse. Yay for slide animations.
202,"@PDubyaD right!!! LOL we'll get there!! I have high expectations, Warren Buffet style."
203,"RT @blknprecious1: RT GREAT @dbroos ""Someone's sitting in the shade today because someone planted a tree a long time ago.""- Warren Buffet"
205,"Warren Buffet became (for a time) the richest man in the United States, not by working but investing in 1 Big idea which lead to the fortune"
206,"According to the create a school, Notre Dame will have 7 receivers in NCAA 10 at 84 or higher rating :) *sweet*"
208,@BlondeBroad it's definitely under warranty &amp; my experience is the amazon support for kindle is great! had to contact them about my kindle2
218,We went to Stanford University today. Got a tour. Made me want to go back to college. It's also decided all of our kids will go there.
236,@ArunBasilLal I love Google Translator too ! :D Good day mate !
237,reading on my new Kindle2!
238,My Kindle2 came and I LOVE it! :)
239,"LOVING my new Kindle2.  Named her Kendra in case u were wondering. The ""cookbook"" is THE tool cuz it tells u all the tricks!  Best gift EVR!"
243,Obama is quite a good comedian! check out his dinner speech on CNN :) very funny jokes.
244,"' Barack Obama shows his funny side "" &gt;&gt; http://tr.im/l0gY !! Great speech.."
245,"I like this guy : ' Barack Obama shows his funny side "" &gt;&gt; http://tr.im/l0gY !!"
